path,similarity.max_token_overlap_ratio,validation.dup_candidate_threshold,validation.dup_candidate_warn_max_share
lanes/lane_09_multi_step_action_flow/lane_hi.yaml,0.3,0.3,0.35
lanes/lane_09_multi_step_action_flow/lane_it.yaml,0.3,0.3,0.35
lanes/lane_09_multi_step_action_flow/lane_ja.yaml,0.3,0.3,0.35
lanes/lane_09_multi_step_action_flow/lane_ko.yaml,0.3,0.3,0.35
lanes/lane_09_multi_step_action_flow/lane_pt-br.yaml,0.3,0.3,0.35
lanes/lane_09_multi_step_action_flow/lane_th.yaml,0.3,0.3,0.35
lanes/lane_09_multi_step_action_flow/lane_vi.yaml,0.3,0.3,0.35
lanes/lane_09_multi_step_action_flow/lane_zh-hans.yaml,0.3,0.3,0.35
lanes/lane_09_multi_step_action_flow/lane_zh-hant.yaml,0.3,0.3,0.35
lanes/lane_09_multi_step_action_flow/lane_zh-hk.yaml,0.3,0.3,0.35
lanes/lane_10_connector_intent_detection/lane_de.yaml,0.3,0.3,0.35
lanes/lane_10_connector_intent_detection/lane_en.yaml,0.3,0.3,0.35
lanes/lane_10_connector_intent_detection/lane_es.yaml,0.3,0.3,0.35
lanes/lane_10_connector_intent_detection/lane_fr.yaml,0.3,0.3,0.35
lanes/lane_10_connector_intent_detection/lane_hi.yaml,0.3,0.3,0.35
lanes/lane_10_connector_intent_detection/lane_it.yaml,0.3,0.3,0.35
lanes/lane_10_connector_intent_detection/lane_ja.yaml,0.3,0.3,0.35
lanes/lane_10_connector_intent_detection/lane_ko.yaml,0.3,0.3,0.35
lanes/lane_10_connector_intent_detection/lane_pt-br.yaml,0.3,0.3,0.35
lanes/lane_10_connector_intent_detection/lane_th.yaml,0.3,0.3,0.35
lanes/lane_10_connector_intent_detection/lane_vi.yaml,0.3,0.3,0.35
lanes/lane_10_connector_intent_detection/lane_zh-hans.yaml,0.3,0.3,0.35
lanes/lane_10_connector_intent_detection/lane_zh-hant.yaml,0.3,0.3,0.35
lanes/lane_10_connector_intent_detection/lane_zh-hk.yaml,0.3,0.3,0.35
lanes/lane_11_connector_action_mapping/lane_de.yaml,0.3,0.3,0.35
lanes/lane_11_connector_action_mapping/lane_en.yaml,0.3,0.3,0.35
lanes/lane_11_connector_action_mapping/lane_es.yaml,0.3,0.3,0.35
lanes/lane_11_connector_action_mapping/lane_fr.yaml,0.3,0.3,0.35
lanes/lane_11_connector_action_mapping/lane_hi.yaml,0.3,0.3,0.35
lanes/lane_11_connector_action_mapping/lane_it.yaml,0.3,0.3,0.35
lanes/lane_11_connector_action_mapping/lane_ja.yaml,0.3,0.3,0.35
lanes/lane_11_connector_action_mapping/lane_ko.yaml,0.3,0.3,0.35
lanes/lane_11_connector_action_mapping/lane_pt-br.yaml,0.3,0.3,0.35
lanes/lane_11_connector_action_mapping/lane_th.yaml,0.3,0.3,0.35
lanes/lane_11_connector_action_mapping/lane_vi.yaml,0.3,0.3,0.35
lanes/lane_11_connector_action_mapping/lane_zh-hans.yaml,0.3,0.3,0.35
lanes/lane_11_connector_action_mapping/lane_zh-hant.yaml,0.3,0.3,0.35
lanes/lane_11_connector_action_mapping/lane_zh-hk.yaml,0.3,0.3,0.35
lanes/lane_12_deeplink_action_mapping/lane_de.yaml,0.3,0.3,0.35
lanes/lane_12_deeplink_action_mapping/lane_en.yaml,0.3,0.3,0.35
lanes/lane_12_deeplink_action_mapping/lane_es.yaml,0.3,0.3,0.35
lanes/lane_12_deeplink_action_mapping/lane_fr.yaml,0.3,0.3,0.35
lanes/lane_12_deeplink_action_mapping/lane_hi.yaml,0.3,0.3,0.35
lanes/lane_12_deeplink_action_mapping/lane_it.yaml,0.3,0.3,0.35
lanes/lane_12_deeplink_action_mapping/lane_ja.yaml,0.3,0.3,0.35
lanes/lane_12_deeplink_action_mapping/lane_ko.yaml,0.3,0.3,0.35
lanes/lane_12_deeplink_action_mapping/lane_pt-br.yaml,0.3,0.3,0.35
lanes/lane_12_deeplink_action_mapping/lane_th.yaml,0.3,0.3,0.35
lanes/lane_12_deeplink_action_mapping/lane_vi.yaml,0.3,0.3,0.35
lanes/lane_12_deeplink_action_mapping/lane_zh-hans.yaml,0.3,0.3,0.35
lanes/lane_12_deeplink_action_mapping/lane_zh-hant.yaml,0.3,0.3,0.35
lanes/lane_12_deeplink_action_mapping/lane_zh-hk.yaml,0.3,0.3,0.35
lanes/lane_13_doc_export_spec/lane_de.yaml,0.3,0.3,0.35
lanes/lane_13_doc_export_spec/lane_en.yaml,0.3,0.3,0.35
lanes/lane_13_doc_export_spec/lane_es.yaml,0.3,0.3,0.35
lanes/lane_13_doc_export_spec/lane_fr.yaml,0.3,0.3,0.35
lanes/lane_13_doc_export_spec/lane_hi.yaml,0.3,0.3,0.35
lanes/lane_13_doc_export_spec/lane_it.yaml,0.3,0.3,0.35
lanes/lane_13_doc_export_spec/lane_ja.yaml,0.3,0.3,0.35
lanes/lane_13_doc_export_spec/lane_ko.yaml,0.3,0.3,0.35
